date,IntelPriceUSD,IntelTotalReturnUSD,retLag1,retLag2,retLag3,retLag4,retLag5,volume,priceImpact,Energy,Material,Industrial,ConsDisc,ConsStap,HealthCare,Fin,IT,Telecom,Util
1995-03-06,82.25,0.004580153,0.03660235,0.002971429,-0.012539185,0.018349444,-0.002382166,5042000,1.10E-05,0.010212977,-0.003492967,-0.00244947,-0.005359264,0.00734796,0.005732228,-0.005685147,0.002746725,-0.006186928,-0.006177376
1995-03-07,80.375,-0.022796353,0.004580153,0.03660235,0.002971429,-0.012539185,0.018349444,5348000,5.30E-05,-0.003366215,-0.002084598,-0.007866628,-0.004032936,-0.009399639,-0.007362356,-0.014013935,-0.010096269,-0.003964171,-0.00832545
1995-03-08,79.75,-0.00777605,-0.022796353,0.004580153,0.03660235,0.002971429,-0.012539185,5363000,1.82E-05,0.013049703,-0.000875163,0.002354367,-0.001200439,0.001941723,-0.00130464,-0.000515858,0.005546018,0.002150657,0.003571198
1995-03-09,80.188,0.005492163,-0.00777605,-0.022796353,0.004580153,0.03660235,0.002971429,5298000,1.29E-05,-0.002242746,0.001115111,0.002572058,-0.000676324,0.000744708,-0.004034168,-0.001832643,0.002618784,0.005161206,-0.002049283
1995-03-10,80.5,0.003890856,0.005492163,-0.00777605,-0.022796353,0.004580153,0.03660235,3592000,1.35E-05,0.004875582,0.011205584,0.015508171,0.014121428,0.01606039,0.006574136,0.014592111,0.007620353,0.020462237,0.007709679
1995-03-13,81.375,0.010869565,0.003890856,0.005492163,-0.00777605,-0.022796353,0.004580153,4579000,2.92E-05,-0.00255167,-0.000128624,0.002005587,0.001782815,0.000896984,0.009060602,-0.001512348,0.007874255,-0.008698272,-0.001946173
1995-03-14,82.375,0.012288786,0.010869565,0.003890856,0.005492163,-0.00777605,-0.022796353,4187000,3.56E-05,-0.003830366,0.00347993,0.008092742,0.000733705,0.007248828,0.009860235,0.006470239,0.006079127,0.015340302,0.004985523
1995-03-15,81.875,-0.006069803,0.012288786,0.010869565,0.003890856,0.005492163,-0.00777605,2152000,3.44E-05,-0.004388748,4.71E-03,-0.007079369,-0.003365766,0.00099906,0.000862933,0.001983733,-0.003310461,-0.001335255,-0.003547683
1995-03-16,81.438,-0.005337405,-0.006069803,0.012288786,0.010869565,0.003890856,0.005492163,2156000,3.04E-05,0.008857553,9.74E-05,0.00944704,0.005662618,0.006013626,0.009749736,0.006131004,0.001575083,0.008650769,0.004311812
1995-03-17,80.891,-0.006716766,-0.005337405,-0.006069803,0.012288786,0.010869565,0.003890856,2383000,3.48E-05,0.001331492,0.00196597,0.001324364,-2.54E-03,0.003123527,0.008806849,-0.005522905,-0.004996984,-0.003513381,-0.002541757
1995-03-20,83.125,0.027617411,-0.006716766,-0.005337405,-0.006069803,0.012288786,0.010869565,4173000,7.96E-05,-0.001949057,0.002423708,-0.001435386,1.16E-05,0.005645088,0.006428234,-0.001874912,0.00921254,-0.00269518,-0.007189257
1995-03-21,83.25,0.001503759,0.027617411,-0.006716766,-0.005337405,-0.006069803,0.012288786,5221000,3.46E-06,-0.005657322,-0.002338865,0.000294886,0.000148279,0.001717005,0.001248792,-0.004714615,-0.001422469,-0.012012153,-0.002619673
1995-03-22,84.375,0.013513514,0.001503759,0.027617411,-0.006716766,-0.005337405,-0.006069803,4352000,3.68E-05,0.009995474,0.003414928,-0.002333944,-0.002582707,-0.000397324,-0.002751256,2.13E-03,-0.00014817,5.61E-03,-0.000849593
1995-03-23,85.375,0.011851852,0.013513514,0.001503759,0.027617411,-0.006716766,-0.005337405,6875000,2.02E-05,0.001510734,0.007297002,-0.000404013,-0.002477382,-0.00290325,0.000575689,3.89E-05,0.008792108,-5.44E-05,-0.001452052
1995-03-24,86.125,0.008784773,0.011851852,0.013513514,0.001503759,0.027617411,-0.006716766,6161000,1.66E-05,0.00567014,1.06E-02,0.0106305,0.011900079,0.004537075,0.003814395,0.010690295,0.016435542,0.017026814,0.011170707
1995-03-27,87.5,0.015965167,0.008784773,0.011851852,0.013513514,0.001503759,0.027617411,4198000,4.35E-05,0.005366862,-8.79E-05,0.005707558,0.002883635,0.000985658,0.006557664,0.009238356,0.006768906,0.000636146,0.001498181
1995-03-28,88.5,0.011428571,0.015965167,0.008784773,0.011851852,0.013513514,0.001503759,5922000,2.18E-05,-0.002758291,0.005232361,-0.000133295,0.005135728,-0.002286486,0.003780278,0.000449785,0.004101356,0.002520363,-0.00337256
1995-03-29,87.063,-0.016237288,0.011428571,0.015965167,0.008784773,0.011851852,0.013513514,10006000,1.86E-05,0.001611357,0.005721261,0.004703623,0.004654774,-0.003313815,-0.011223366,-0.000823002,-0.017073703,-0.005341648,0.001759118
1995-03-30,85.375,-0.019388259,-0.016237288,0.011428571,0.015965167,0.008784773,0.011851852,10260000,2.21E-05,0.000475151,0.018918584,0.003918804,0.007776629,-0.007041733,-0.015176166,-0.001089231,-0.014618215,-0.004774807,4.43E-03
1995-03-31,84.875,-0.005856515,-0.019388259,-0.016237288,0.011428571,0.015965167,0.008784773,9411000,7.33E-06,0.013267281,-0.00356226,-0.002081293,-0.004264574,-0.005922151,-0.00284789,-0.004477849,-0.004437554,-0.013244841,-1.58E-06
1995-04-03,88.5,0.042709867,-0.005856515,-0.019388259,-0.016237288,0.011428571,0.015965167,5900000,8.18E-05,-0.008227385,-0.001004473,0.00204439,0.002355693,0.005087798,0.006126488,0.001843368,0.006404241,0.003455128,-0.000123109
1995-04-04,86.563,-0.021887006,0.042709867,-0.005856515,-0.019388259,-0.016237288,0.011428571,6278000,4.03E-05,0.009233527,0.005531982,0.005782474,-0.001575029,0.009287697,0.007606633,0.009999453,-0.010316609,0.013131748,0.016658949
1995-04-05,86.625,0.000716241,-0.021887006,0.042709867,-0.005856515,-0.019388259,-0.016237288,7451000,1.11E-06,0.002534485,0.006958098,-0.002576359,-0.000843543,0.000131829,-0.00346166,0.001794529,0.004128752,0.000334448,0.008543776
1995-04-06,85.5,-0.012987013,0.000716241,-0.021887006,0.042709867,-0.005856515,-0.019388259,4943000,3.07E-05,-0.010566715,0.002344181,0.003661868,-0.004637351,0.002484893,0.000282839,0.013014822,-0.004863247,0.00152336,-0.000188951
1995-04-07,87.125,0.019005848,-0.012987013,0.000716241,-0.021887006,0.042709867,-0.005856515,5318000,4.10E-05,-0.003784281,-0.007459097,-0.001475393,0.001417044,0.000950794,-0.002381309,0.001015195,0.008239392,0.003519906,0.001451929
1995-04-10,88.5,0.015781923,0.019005848,-0.012987013,0.000716241,-0.021887006,0.042709867,4963000,3.59E-05,-0.001564785,0.001953303,0.00070498,-0.00071295,0.000564216,0.005237478,-0.000464619,0.014172703,0.002147563,-0.002913503
1995-04-11,91.25,0.031073446,0.015781923,0.019005848,-0.012987013,0.000716241,-0.021887006,10847000,3.14E-05,-0.001579179,-0.000619994,-0.002824362,-0.005968082,-0.006611516,0.00403501,-0.005757188,0.007189744,-0.00171477,-0.002243827
1995-04-12,91.75,0.005479452,0.031073446,0.015781923,0.019005848,-0.012987013,0.000716241,5230000,1.14E-05,-0.000131135,0.001187395,0.00485869,0.007099748,0.005798011,0.003353798,0.000235376,0.007342274,-0.00071166,-0.002310718
1995-04-13,95,0.035422343,0.005479452,0.031073446,0.015781923,0.019005848,-0.012987013,7217000,5.17E-05,0.002020612,-0.003759074,0.004439014,0.000397897,0.000955433,0.011497707,0.005158553,0.010421792,0.003045107,0.005039747
1995-04-17,94,-0.010526316,0.035422343,0.005479452,0.031073446,0.015781923,0.019005848,9792000,1.14E-05,0.000142403,-0.006262177,-0.002807006,-0.005819502,-0.010435177,-0.005462017,-0.002386913,-0.000480318,-0.016342827,-0.0136025
1995-04-18,94.313,0.003329787,-0.010526316,0.035422343,0.005479452,0.031073446,0.015781923,10513000,3.36E-06,0.007652931,-0.008437631,-0.003805809,-7.65E-03,0.00313178,-0.003607625,0.001115656,-0.003461814,-0.006907194,0.001051554
1995-04-19,93.313,-0.010602992,0.003329787,-0.010526316,0.035422343,0.005479452,0.031073446,5987000,1.90E-05,0.002610784,0.000976382,0.001917528,-1.01E-06,0.001572509,-0.021630453,-0.002005833,-0.014356354,0.007035926,0.006286741
1995-04-20,93,-0.003354302,-0.010602992,0.003329787,-0.010526316,0.035422343,0.005479452,4967000,7.26E-06,0.018391689,0.004089583,0.000333646,-0.002478939,-0.000761176,-0.002694035,-0.0021672,0.007012383,-0.00627,-0.000122806
1995-04-21,92.875,-0.001344086,-0.003354302,-0.010602992,0.003329787,-0.010526316,0.035422343,5487000,2.64E-06,0.00250941,0.007604349,0.009690493,0.002741343,0.010219538,0.011690882,0.001259783,0.010510994,0.000261851,0.001262972
1995-04-24,96.5,0.039030956,-0.001344086,-0.003354302,-0.010602992,0.003329787,-0.010526316,6004000,6.74E-05,0.004937695,7.59E-03,0.00820716,0.002991857,0.008146304,0.010378958,0.006004644,0.025234711,0.002256324,0.005841583
1995-04-25,98.25,0.018756474,0.039030956,-0.001344086,-0.003354302,-0.010602992,0.003329787,8084000,2.28E-05,0.003851817,2.09E-05,-0.002505793,-0.004586446,-0.005177014,-0.009882884,-0.001304605,0.007812202,7.16E-03,-0.002738748
1995-04-26,99.625,0.013994911,0.018756474,0.039030956,-0.001344086,-0.003354302,-0.010602992,6005000,2.34E-05,-0.000122109,-0.004713745,0.002824121,-0.002060693,-0.000921937,0.000957068,0.0026838,0.011513505,-8.17E-05,-0.000174351
1995-04-27,100.625,0.010037641,0.013994911,0.018756474,0.039030956,-0.001344086,-0.003354302,5697000,1.75E-05,0.0008112,0.005063277,0.003241263,0.003117727,-0.002166337,-0.00213226,0.003849675,0.006703114,0.001484755,-0.00041434
1995-04-28,102.375,0.017391304,0.010037641,0.013994911,0.018756474,0.039030956,-0.001344086,8271000,2.05E-05,0.00030986,0.002630869,-0.00159069,0.003392971,0.005323878,0.005652416,-0.002886898,0.002942942,0.007471502,0.002186566
1995-05-01,104.125,0.017094017,0.017391304,0.010037641,0.013994911,0.018756474,0.039030956,7240000,2.27E-05,0.022524004,0.000900497,0.0002937,-0.008430531,-0.002207074,-0.002217724,-0.002682468,-0.009300528,-0.00248936,-0.002798572
1995-05-02,104,-0.00120048,0.017094017,0.017391304,0.010037641,0.013994911,0.018756474,7226000,1.60E-06,-0.003513154,0.001144004,-0.000247689,-0.000238768,0.006280521,0.003096089,0.000387247,0.000667331,0.001465254,-0.001280847
1995-05-03,107.375,0.032451923,-0.00120048,0.017094017,0.017391304,0.010037641,0.013994911,5613000,5.38E-05,0.002457657,0.001270672,0.00765578,0.011185794,0.016007398,0.008987475,0.009521163,0.022992328,0.007346304,0.006160058
1995-05-04,109.875,0.023282887,0.032451923,-0.00120048,0.017094017,0.017391304,0.010037641,11059000,1.92E-05,0.001638184,-0.003294936,0.000714698,-0.005352641,-2.62E-03,-0.005765277,0.007977973,0.000925117,-0.001528628,0.001089862
1995-05-05,108.625,-0.011376564,0.023282887,0.032451923,-0.00120048,0.017094017,0.017391304,8977000,1.17E-05,-0.001397885,-0.004591637,-0.005960993,0.000995593,-3.16E-05,-0.000997841,0.009088802,-0.009133551,-0.001650656,0.005956786
1995-05-08,111.625,0.027617952,-0.011376564,0.023282887,0.032451923,-0.00120048,0.017094017,7331000,3.37E-05,0.002408588,0.010124925,0.005873372,0.007008108,0.008611548,0.003179047,0.010260198,0.008970276,0.01097448,-0.000594715
1995-05-09,111.25,-0.003359462,0.027617952,-0.011376564,0.023282887,0.032451923,-0.00120048,8633000,3.50E-06,-0.008523642,-0.003363653,0.002065354,0.001586411,-0.002054031,-0.002534669,0.003991606,-0.001336929,0.002308347,0.003117756
1995-05-10,108.75,-0.02247191,-0.003359462,0.027617952,-0.011376564,0.023282887,0.032451923,8828000,2.34E-05,0.002068866,0.004120449,0.00297304,0.005844817,-0.000313346,0.000474369,0.004675771,-0.000412322,-0.008312009,0.001359026
1995-05-11,109.25,0.004597701,-0.02247191,-0.003359462,0.027617952,-0.011376564,0.023282887,7220000,5.83E-06,-0.009855822,0.007057156,0.000810986,0.009270704,-0.001814555,-0.000692014,-0.001959196,0.009134872,-0.004213924,-0.005069099
1995-05-12,108.688,-0.005144165,0.004597701,-0.02247191,-0.003359462,0.027617952,-0.011376564,4896000,9.67E-06,-0.000183967,0.007812971,0.007488285,0.015157781,-0.011109735,-0.01867242,0.001745814,0.00651301,0.008018518,0.003941133
1995-05-15,108.375,-0.002879803,-0.005144165,0.004597701,-0.02247191,-0.003359462,0.027617952,4534000,5.86E-06,0.007298912,0.007639109,0.001332017,0.007709378,-0.001375341,-0.006694641,0.009704278,0.011613016,0.000761711,0.005854873
1995-05-16,108.875,0.00461361,-0.002879803,-0.005144165,0.004597701,-0.02247191,-0.003359462,5225000,8.11E-06,0.010581264,0.005934628,0.003707499,-0.003956794,-0.003825023,0.003254265,0.003415551,0.006692264,-0.016133808,0.00608335
1995-05-17,110.75,0.017221584,0.00461361,-0.002879803,-0.005144165,0.004597701,-0.02247191,6489000,2.40E-05,-0.000187314,-0.007139997,-0.002171089,-0.004831702,-0.000921697,0.002773436,-0.005939923,0.009687737,-0.00817212,-0.003224627
1995-05-18,110.75,0,0.017221584,0.00461361,-0.002879803,-0.005144165,0.004597701,10662000,0.00E+00,-0.011401984,-0.013101088,-0.016038149,-0.013998867,-0.011921746,-0.015061182,-0.010975374,-0.012769333,-0.018342707,-0.011133059
